Delivery_person_Age,Delivery_person_Ratings,Time_taken(min),distance_km,Type_of_order_Drinks,Type_of_order_Meal,Type_of_order_Snack,Type_of_vehicle_electric_scooter,Type_of_vehicle_motorcycle,Type_of_vehicle_scooter
37,4.9,24,3.0251492856775037,False,False,True,False,True,False
34,4.5,33,20.183529728733618,False,False,True,False,False,True
23,4.4,26,1.5527578022548725,True,False,False,False,True,False
38,4.7,21,7.790401360105752,False,False,False,False,True,False
32,4.6,30,6.2101379656240985,False,False,True,False,False,True
22,4.8,26,4.610365144357058,False,False,False,False,True,False
33,4.7,40,16.600361127912656,False,True,False,False,False,True
35,4.6,32,20.20525323529291,False,True,False,False,True,False
22,4.8,34,19.975520086221444,False,False,False,False,True,False
36,4.2,46,10.280582064621875,False,False,True,False,True,False
21,4.7,23,6.242318682701243,False,True,False,False,True,False
23,4.7,21,13.787860239172547,True,False,False,False,False,True
34,4.3,20,2.9302578007621216,False,False,False,False,True,False
24,4.7,41,19.39661829066159,False,False,True,False,False,True
29,4.5,20,13.763977224427641,False,False,False,True,False,False
35,4.0,33,6.21800119018663,False,True,False,False,False,True
33,4.2,40,16.849939918016492,False,False,True,False,True,False
34,4.9,41,10.757108800258132,False,False,True,False,True,False
21,4.7,15,4.5405743887312955,False,True,False,False,True,False
25,4.1,36,12.256076445468295,False,False,True,False,True,False
31,4.7,26,19.618739348801018,False,True,False,True,False,False
37,5.0,20,1.5581322655568652,False,False,True,False,True,False
33,4.3,39,20.180635114114715,False,True,False,False,False,True
25,4.0,34,6.116971669682334,False,False,False,False,True,False
29,4.5,15,17.07559440107296,False,True,False,True,False,False
27,5.0,18,4.470286489434607,False,False,True,False,True,False
35,4.3,38,13.68204452608078,True,False,False,False,False,True
32,4.0,47,13.973182653917394,False,False,False,False,True,False
23,4.8,12,16.85361872985359,False,False,False,True,False,False
31,4.8,26,4.674172124263269,True,False,False,False,True,False
36,4.1,22,7.60161677107109,True,False,False,False,True,False
26,4.3,21,7.720324413179964,False,False,False,False,True,False
38,4.9,25,6.1756362610169315,True,False,False,False,False,True
32,4.6,30,19.914686965545187,True,False,False,False,False,True
33,4.9,22,10.724517748046026,False,False,True,False,True,False
20,4.7,10,6.127835452844326,False,False,True,False,False,True
20,4.8,19,1.5203573134022046,False,True,False,False,False,True
35,5.0,11,3.0734537599377685,False,False,True,False,False,True
26,4.9,11,3.1051314775458967,False,False,False,False,False,True
22,4.8,28,10.86742683448048,False,False,True,False,True,False
35,4.3,33,10.865464603780389,False,False,True,False,True,False
29,4.6,33,12.236723616598548,True,False,False,False,False,True
37,4.7,52,13.682516298592299,False,False,True,False,True,False
28,4.6,22,16.826241648658115,False,False,True,False,False,True
37,4.9,16,3.0272369309754272,False,False,True,False,False,True
23,4.9,11,9.175193844437826,True,False,False,True,False,False
27,4.9,25,9.315069177421892,True,False,False,False,False,True
37,4.8,26,6.209021101535612,True,False,False,False,True,False
33,5.0,18,1.5203447277401048,False,False,True,False,False,True
31,4.9,16,6.037225392443855,False,False,True,False,True,False
31,4.8,23,17.078665498349437,True,False,False,False,False,True
28,4.8,36,12.464329297636581,True,False,False,False,True,False
31,4.7,16,9.121425981981247,False,False,True,False,True,False
24,4.7,19,14.02323208308448,False,False,False,False,True,False
39,4.6,27,13.392612276663236,False,False,True,False,True,False
32,4.5,20,1.4899271643865588,False,False,False,False,False,True
25,4.8,18,11.916582838288104,True,False,False,False,False,True
33,4.9,22,4.663566689152146,True,False,False,False,False,True
30,4.4,34,10.641157729337541,True,False,False,False,False,True
33,5.0,24,16.818368923732613,False,False,False,False,True,False
36,4.9,17,6.128551257919138,True,False,False,False,False,True
21,4.8,14,2.996250036665907,False,True,False,True,False,False
39,4.9,30,7.342175722857793,False,True,False,False,True,False
39,4.6,36,13.972123977178622,False,False,True,False,False,True
22,4.7,18,6.081440797008078,False,False,False,False,False,True
32,4.6,17,6.080891507842322,False,True,False,False,False,True
29,4.6,19,6.210589610314177,True,False,False,False,False,True
26,4.7,10,9.220373067021216,False,False,False,False,True,False
35,4.1,37,13.96960642768458,False,False,False,False,True,False
39,4.6,44,13.973206773137713,True,False,False,False,False,True
34,4.7,28,6.058853851669116,True,False,False,True,False,False
27,4.7,42,17.07799287216204,False,False,True,False,False,True
25,4.4,39,17.072871906399556,False,False,True,False,False,True
25,4.7,20,16.818368923732613,False,True,False,False,True,False
30,5.0,31,2.979502850576494,False,False,False,False,True,False
24,4.6,13,9.22086597503784,False,False,False,False,True,False
39,4.8,28,7.661331134220826,False,True,False,False,True,False
25,4.8,19,6.1755160934059985,False,False,True,False,False,True
37,4.6,42,12.209856560906529,False,False,False,False,True,False
24,5.0,23,1.5526813140972442,True,False,False,False,True,False
25,4.2,39,16.902806732498032,False,True,False,False,True,False
32,4.6,25,1.5093577696337532,True,False,False,False,True,False
34,4.7,15,10.416963824321584,True,False,False,False,False,True
38,4.9,15,3.0251186390184004,True,False,False,False,False,True
36,4.8,15,13.407092693002484,False,False,False,True,False,False
25,5.0,15,16.721976048741215,False,True,False,False,True,False
29,5.0,18,7.772343594464245,True,False,False,False,True,False
36,4.7,29,13.773737657079298,True,False,False,True,False,False
33,4.7,20,7.790158927084966,False,False,True,False,True,False
36,4.4,39,6.217834398578936,False,True,False,False,False,True
21,4.8,19,16.852834881460105,False,False,True,False,True,False
25,4.8,19,4.610035602260694,False,False,True,False,False,True
23,4.8,17,19.879870677373706,False,True,False,False,True,False
25,4.6,15,1.5580833985948437,False,False,True,False,True,False
24,4.3,19,3.025332706173566,False,True,False,False,True,False
27,4.6,29,13.97194896017493,False,False,False,False,True,False
23,4.8,22,16.830905551931956,False,False,True,False,False,True
21,4.3,42,20.207797933358158,True,False,False,False,False,True
27,4.7,12,3.040641621538495,False,False,True,False,False,True
32,4.2,38,20.253785359470783,False,False,True,False,True,False
25,4.6,23,16.72129600980331,True,False,False,False,True,False
39,4.7,15,2.9845507897866907,False,True,False,False,False,True
27,4.6,24,12.16145053143676,False,False,True,False,True,False
39,3.8,37,16.822155609317257,True,False,False,False,True,False
31,4.8,24,7.762556904358444,False,False,True,False,False,True
31,4.8,13,9.055855161965923,False,False,False,True,False,False
20,4.8,16,1.5545816630911855,True,False,False,False,True,False
36,4.9,42,12.074047498027575,True,False,False,False,True,False
20,4.9,17,13.580373876280879,False,True,False,False,True,False
24,4.6,25,4.469620875558295,True,False,False,False,True,False
29,4.6,25,16.659838319169715,False,False,True,True,False,False
39,4.2,39,16.634870118211836,False,False,True,False,False,True
37,4.8,18,6.232139486668102,False,True,False,False,False,True
32,4.9,28,6.209021101535612,True,False,False,False,True,False
22,4.5,18,7.460830127736633,True,False,False,False,False,True
23,4.9,18,20.253785359470783,False,True,False,False,False,True
33,4.7,49,16.600975700594585,False,False,True,False,False,True
23,4.6,15,4.540321372891478,True,False,False,False,True,False
27,4.6,21,12.421212735966003,True,False,False,False,True,False
34,4.7,23,6.1187118466897275,False,False,True,False,False,True
26,5.0,11,1.520431947999248,False,True,False,False,False,True
31,4.6,25,9.087972744661085,False,False,True,False,True,False
32,4.9,18,3.0644871057616707,False,False,True,False,True,False
27,4.7,14,3.025144329113595,False,False,False,False,True,False
21,4.9,36,13.973206773137713,True,False,False,False,True,False
28,4.8,18,7.763102784727143,True,False,False,False,True,False
33,4.4,28,1.5368503798521727,False,False,True,False,True,False
20,4.6,44,13.97317756157655,False,False,False,False,True,False
31,4.3,20,9.348403522662325,False,False,True,False,True,False
29,4.6,19,4.596576884051942,False,False,True,False,False,True
36,5.0,35,10.602467987619507,False,False,True,False,True,False
31,4.2,50,17.076258901183188,False,True,False,False,True,False
39,4.1,34,9.22083460710881,False,True,False,False,False,True
29,4.6,17,12.161605446010208,False,True,False,True,False,False
29,4.6,23,6.080882967594328,False,False,True,False,False,True
37,4.9,27,4.67414369897644,False,False,False,False,True,False
31,3.9,35,10.709003371535417,False,False,False,False,False,True
26,4.4,23,9.31488473286169,False,False,False,False,True,False
24,4.6,30,17.137482577838597,False,False,True,False,True,False
39,4.8,28,6.21800234869445,False,False,True,False,True,False
20,4.7,24,12.463883024166657,True,False,False,False,True,False
20,5.0,36,20.20658151050797,False,True,False,False,True,False
29,4.3,28,9.081116432461174,False,False,False,False,True,False
36,4.8,31,17.138077427627866,True,False,False,False,True,False
36,4.0,44,13.631343698142908,False,True,False,False,True,False
22,4.8,15,12.074063090452917,True,False,False,False,False,True
38,4.4,33,10.723264172167632,False,False,False,False,True,False
39,4.9,30,7.600994631258685,False,False,False,False,True,False
24,4.9,22,7.562982485200135,False,False,True,False,False,True
35,4.8,48,13.829314445199353,False,True,False,False,True,False
33,4.5,19,13.969116967730173,True,False,False,True,False,False
39,4.7,21,10.92326745824626,False,False,True,False,True,False
31,4.3,44,12.117036432265502,True,False,False,False,True,False
37,4.5,26,1.5525704156536744,True,False,False,False,False,True
37,4.7,26,4.663566689152146,False,False,False,False,False,True
33,5.0,31,1.5294972211332267,False,True,False,False,True,False
33,4.5,18,11.916757259074618,False,False,True,False,False,True
39,4.7,38,10.486117701549256,False,True,False,False,True,False
37,4.6,32,13.583078662317007,False,False,True,False,True,False
25,4.9,17,7.6831914051315,False,True,False,False,False,True
28,4.8,11,9.193093962702912,False,False,False,False,False,True
38,4.7,31,6.2178836475581045,False,False,False,False,True,False
29,4.6,43,10.427235657896496,True,False,False,False,True,False
31,4.6,25,9.326872529115304,False,True,False,False,True,False
25,4.8,22,9.179538450826048,False,False,True,False,True,False
35,4.9,43,10.880651848535559,True,False,False,False,True,False
39,4.7,42,10.565262855251525,False,False,False,False,True,False
38,3.9,42,12.100062421152574,False,True,False,False,True,False
35,4.7,34,4.657159718107683,True,False,False,False,True,False
29,4.7,17,2.9812178551917965,False,False,True,False,True,False
27,4.6,25,4.56126563284071,False,False,True,False,False,True
38,4.3,54,13.989916877275611,False,True,False,False,True,False
36,4.9,21,10.64228895373868,False,False,False,False,True,False
26,4.0,34,6.147404652636645,False,False,False,False,True,False
26,4.1,36,13.428477357470895,False,True,False,False,True,False
36,4.9,17,9.32728515796102,True,False,False,False,True,False
21,4.7,16,1.489792976782627,False,True,False,False,True,False
35,4.7,27,12.418394742110447,False,True,False,True,False,False
20,4.5,26,6.217860689144307,False,True,False,False,True,False
23,4.6,46,13.787803344501583,False,False,True,False,True,False
37,5.0,29,9.080187058763224,False,False,False,False,True,False
26,4.8,23,9.31544163550089,False,False,True,False,True,False
29,5.0,11,12.161417162421785,False,False,True,False,False,True
26,4.9,28,16.636875038860897,False,False,True,False,True,False
29,4.8,25,9.19295116708344,False,True,False,False,True,False
29,4.7,11,3.0182264849996012,False,False,True,False,True,False
21,4.9,26,4.395420246829376,False,True,False,False,False,True
22,4.3,23,3.109059104393369,False,True,False,False,True,False
31,4.0,39,11.916582838288104,False,False,True,False,True,False
20,4.5,11,3.116248509790061,False,False,True,False,True,False
30,3.9,32,12.116950608888414,True,False,False,True,False,False
36,4.8,43,10.868263117988388,False,False,True,False,True,False
24,4.7,13,6.218153086065015,False,False,False,False,False,True
32,4.7,25,1.554424975889475,False,False,False,True,False,False
25,5.0,27,9.313017158714828,True,False,False,False,True,False
27,4.5,29,6.147106622705506,True,False,False,False,False,True
32,4.1,33,10.867300462045835,False,False,False,False,True,False
23,4.7,19,6.209259882041872,True,False,False,False,True,False
39,4.4,33,20.18085916835158,False,True,False,False,True,False
20,4.8,15,11.919755989352295,True,False,False,True,False,False
29,4.6,29,4.494291162003504,False,True,False,False,False,True
26,4.9,18,20.85172635753384,False,True,False,False,False,True
25,5.0,14,1.5605734793807475,False,True,False,False,True,False
34,4.7,30,6.210589610314177,False,False,True,False,True,False
31,4.9,28,6.17528357530834,False,False,True,False,True,False
30,4.9,30,13.830084721845328,False,True,False,False,True,False
36,4.8,36,19.37374583495492,False,False,False,False,True,False
36,4.4,37,20.857115324129595,False,False,True,False,True,False
26,4.7,43,20.851557402660557,False,True,False,False,True,False
30,4.6,29,16.659963190057415,False,False,False,False,False,True
33,4.7,15,7.76260023979039,False,False,False,True,False,False
34,4.0,39,13.76685500858734,False,False,True,False,True,False
36,4.6,20,12.293677673573285,False,False,False,False,True,False
33,4.6,15,2.9846372692856606,False,False,False,False,True,False
22,4.8,16,16.78827586251448,True,False,False,False,True,False
38,4.7,19,1.5320227740641719,True,False,False,False,False,True
27,4.9,20,12.421407858787804,True,False,False,False,False,True
32,4.8,25,10.444776155165918,False,True,False,False,False,True
26,4.8,43,12.42075005031367,False,False,True,False,True,False
29,4.5,15,19.659373527443684,True,False,False,False,True,False
31,4.5,29,12.46418980459368,False,False,False,False,True,False
28,4.6,14,6.1462436583934315,True,False,False,False,True,False
21,4.8,11,8.92908688893574,False,False,False,False,True,False
21,4.0,19,7.79036212453358,False,False,False,False,True,False
29,4.7,11,5.992096714696517,False,False,False,False,True,False
20,4.8,14,1.5297232853100244,False,False,True,False,True,False
28,5.0,15,13.73594217639692,False,False,True,False,True,False
25,4.7,16,10.705559922396555,False,True,False,False,True,False
29,4.6,43,16.85256546543028,False,False,False,False,True,False
38,4.8,20,3.1048037532854496,False,False,False,False,True,False
39,4.9,26,4.610073053799191,True,False,False,False,True,False
26,4.9,26,9.122100805601145,False,False,True,False,False,True
33,4.4,43,10.906036622245484,False,True,False,False,True,False
24,4.6,25,9.08801379933047,False,False,True,False,True,False
24,4.9,28,6.232303380306801,False,False,False,False,True,False
33,4.5,17,13.611566722125085,False,False,False,False,False,True
35,4.2,44,13.611428630407849,True,False,False,False,True,False
27,4.2,33,13.763896210757977,False,False,False,False,True,False
29,4.6,19,7.7613504048972315,False,False,True,False,False,True
29,4.5,15,4.657591594952301,False,False,True,False,True,False
34,4.7,27,19.34348721744278,False,False,False,False,False,True
